sample_id,se1_date,village,zone,tapstand_code,se1_time,se1_frc,se1_trc,se1_turb,se1_airtemp,se1_wattemp,se1_cond,se1_ph,se1_orp,resp_consent,sa_tap,sa_cont,sa_cover,sa_clean,sa_opacity,sa_colour,se2_time,se2_frc,se2_trc,se2_turb,se2_wattemp,se2_cond,se2_ph,se2_orp,hh_steps,hh_minutes,se3_time,se3_frc,se3_trc,se3_turb,se3_wattemp,se3_cond,se3_ph,se3_orp,se4_time,se4_date,timelapse4,se4_frc,se4_trc,se4_turb,se4_airtemp,se4_wattemp,se4_cond,se4_ph,se4_orp,se5_time,se5_date,timelapse5,se5_frc,se5_trc,se5_turb,se5_airtemp,se5_wattemp,se5_cond,se5_ph,se5_orp,sb_watertransfer,sb_watermix,sb_waterused,sb_waterleft,sb_drawing,sb_cont,sb_cover,sb_clean,sb_opacity,sb_colour,sb_inout,sb_sunshade
61,7/8/15,B,Q6V3,W22,7/8/15 8:46,0.52,0.63,0.25,16.2,17.8,93.5,6.85,702,Y,T,R,Y,C,Y,Y,7/8/15 8:53,0.58,0.61,0.08,17.8,90.1,6.79,724,25,0.2,7/8/15 9:03,0.65,0.66,0.01,17.8,91.7,6.89,729,7/8/15 14:27,7/8/15,5:41,0.46,0.55,2.07,26.7,21.1,91.2,6.69,729,7/9/15 8:06,7/9/15,23:20:00,0.42,0.49,0.69,16.0,17.7,89.4,7.03,702,N,N,Y,80%,P,R,Y,C,Y,Y,I,N
62,7/8/15,B,Q6V3,W22,7/8/15 9:12,0.62,0.67,0.14,15.5,17.7,103.8,6.90,712,Y,T,R,N,U,Y,Y,7/8/15 9:21,0.71,0.72,0.07,17.9,86.4,6.60,761,82,1.0,7/8/15 9:31,0.65,0.69,0.25,18.3,91.1,6.77,746,7/8/15 14:07,7/8/15,4:55,0.59,0.60,0.01,22.8,22.6,97.9,7.19,678,,7/9/15,,,,,,,,,,,,,,,,,,,,,
63,7/8/15,B,Q6V3,W22,7/8/15 9:45,0.66,0.69,0.04,17.2,18.2,91.1,7.08,727,Y,T,R,N,U,Y,Y,7/8/15 9:55,0.66,0.69,0.01,18.7,92.4,6.79,739,30,0.3,7/8/15 10:04,0.69,0.70,0.01,18.6,91.0,6.89,728,7/8/15 14:39,7/8/15,4:54,0.52,0.61,0.28,22.7,19.5,86.3,6.92,727,7/9/15 8:16,7/9/15,22:31:00,0.48,0.52,0.47,15.2,16.1,113.9,7.08,705,N,N,Y,80%,P,R,Y,U,Y,Y,I,N
64,7/8/15,B,Q6V3,W22,7/8/15 10:13,0.69,0.70,0.11,17.2,18.6,197.7,6.92,738,Y,T,Oil container,N,U,Y,Y,7/8/15 10:19,0.66,0.66,0.07,18.3,87.9,6.80,736,63,1.0,7/8/15 10:39,0.41,0.61,0.06,19.0,88.7,6.88,721,7/8/15 16:17,7/8/15,6:04,0.60,0.61,0.29,28.6,20.1,88.4,6.99,710,7/9/15 7:50,7/9/15,21:37:00,0.32,0.36,0.05,16.3,16.5,89.5,7.19,646,N,N,Y,50%,P,Oil Container,N,U,Y,Y,I,N
65,7/9/15,B,Q6V1,W21,7/9/15 9:07,0.60,0.60,0.59,25.0,17.6,266.0,7.00,747,Y,T,R,N,C,Y,Y,7/9/15 9:16,0.54,0.57,0.14,17.6,83.0,6.85,740,50,0.8,7/9/15 9:20,0.58,0.66,0.85,17.9,82.0,6.82,752,7/9/15 14:04,7/9/15,4:57,0.48,0.51,0.78,21.6,19.1,81.2,6.87,720,7/10/15 7:50,7/10/15,22:43:00,0.33,0.36,0.73,15.3,16.6,81.9,7.10,679,Y,N,Y,15%,P,Oil Container,N,U,Y,Y,I,N
66,7/9/15,B,Q6V1,W21,7/9/15 9:28,0.56,0.58,0.37,15.3,17.2,83.9,6.91,747,Y,T,R,Y,U,Y,Y,7/9/15 9:36,0.55,0.59,1.12,17.6,81.9,6.70,752,250,3.0,7/9/15 9:50,0.52,0.60,0.82,18.2,122.7,6.87,740,7/9/15 14:25,7/9/15,4:57,0.32,0.38,0.77,20.2,19.4,78.6,6.90,705,7/10/15 8:20,7/10/15,22:52:00,0.10,0.22,0.60,17.8,18.3,84.0,6.84,516,Y,N,Y,19%,P,Oil Container,Y,C,Y,Y,I,N
67,7/9/15,B,Q6V1,W21,7/9/15 10:10,0.59,0.64,0.07,21.0,19.5,82.2,6.68,756,Y,T,R,N,U,Y,Y,7/9/15 10:20,0.54,0.62,0.42,19.9,82.2,6.66,735,52,0.6,7/9/15 10:40,0.54,0.61,0.66,19.8,79.0,7.05,731,7/9/15 14:25,7/9/15,4:15,0.45,0.55,1.77,23.8,20.2,80.4,6.80,703,7/10/15 7:45,7/10/15,21:35:00,0.41,0.45,0.70,16.6,17.5,133.5,7.26,693,N,N,Y,30%,P,R,N,U,Y,Y,I,N
68,7/9/15,B,Q6V1,W21,7/9/15 10:50,0.67,0.68,0.42,19.7,19.9,80.6,6.81,739,Y,T,Collapsible,Y,D,N,White,7/9/15 10:39,0.45,0.48,0.33,21.2,82.4,6.93,721,94,1.0,7/9/15 11:09,0.38,0.41,0.61,20.8,79.9,6.72,718,7/9/15 14:12,7/9/15,3:22,0.14,0.19,0.44,19.3,22.5,81.5,6.87,615,7/10/15 8:00,7/10/15,21:10:00,0.05,0.12,0.48,17.2,16.2,84.0,7.10,459,N,N,Y,10%,P,Collapsible,Y,D,N,White,I,N
69,7/9/15,B,Q6V1,W21,7/9/15 9:08,0.56,0.59,0.59,19.1,17.7,89.3,6.67,734,Y,T,R,N,D,Y,Y,7/9/15 9:20,0.55,0.58,1.06,17.5,59.0,6.62,759,60,1.0,7/9/15 9:35,0.48,0.53,1.04,17.2,128.6,6.70,723,,7/9/15,,,,,,,,,,7/10/15 8:09,7/10/15,23:01:00,0.21,0.27,0.74,15.6,16.4,70.5,6.86,707,N,N,N,100%,P,R,N,D,Y,Y,I,N
70,7/9/15,B,Q6V1,W21,7/9/15 9:46,0.57,0.61,0.01,18.1,18.6,127.7,6.75,741,Y,T,R,N,C,Y,Y,7/9/15 9:54,0.56,0.59,0.01,18.7,133.8,6.63,755,55,1.0,7/9/15 10:00,0.55,0.60,0.40,20.0,151.9,6.78,739,7/9/15 14:20,7/9/15,4:34,0.46,0.56,0.01,24.8,24.2,213.0,6.82,710,7/10/15 7:48,7/10/15,22:02:00,0.32,0.40,0.41,15.5,17.7,73.6,6.82,687,N,N,Y,70%,P,R,N,U,Y,Y,I,N
