sample_id,se1_date,village,zone,tapstand_code,se1_time,se1_frc,se1_trc,se1_turb,se1_airtemp,se1_wattemp,se1_cond,se1_ph,se1_orp,resp_consent,sa_tap,sa_cont,sa_cover,sa_clean,sa_opacity,sa_colour,se2_time,se2_frc,se2_trc,se2_turb,se2_wattemp,se2_cond,se2_ph,se2_orp,hh_steps,hh_minutes,se3_time,se3_frc,se3_trc,se3_turb,se3_wattemp,se3_cond,se3_ph,se3_orp,se4_time,se4_date,timelapse4,se4_frc,se4_trc,se4_turb,se4_airtemp,se4_wattemp,se4_cond,se4_ph,se4_orp,se5_time,se5_date,timelapse5,se5_frc,se5_trc,se5_turb,se5_airtemp,se5_wattemp,se5_cond,se5_ph,se5_orp,sb_watertransfer,sb_watermix,sb_waterused,sb_waterleft,sb_drawing,sb_cont,sb_cover,sb_clean,sb_opacity,sb_colour,sb_inout,sb_sunshade
91,7/13/15,A,Q7V4,W7,7/13/15 9:39,0.52,0.55,0.84,19.0,18.0,76.8,6.72,735,Y,T,R,N,D,Y,Y,7/13/15 9:47,0.44,0.48,0.26,18.2,83.6,7.14,712,15,0.3,7/13/15 9:55,0.40,0.45,0.13,18.2,83.6,7.14,712,7/13/15 14:05,7/13/15,4:26,0.31,0.32,3.00,22.0,23.0,208.0,7.02,670,7/14/15 7:51,7/14/15,22:12:00,0.27,0.28,0.35,16.4,16.6,103.2,7.22,617,N,N,Y,70%,P,R,N,U,Y,Y,I,N
92,7/13/15,A,Q7V4,W7,7/13/15 10:06,0.40,0.45,0.41,20.0,18.3,77.5,6.66,761,Y,T,R,N,U,Y,Y,7/13/15 10:15,0.40,0.47,0.73,18.5,236.0,6.81,743,27,0.5,7/13/15 10:28,0.43,0.49,0.59,19.6,207.0,6.79,739,7/13/15 14:10,7/13/15,4:04,0.38,0.40,2.16,24.6,24.1,145.1,6.99,694,,7/14/15,,,,,,,,,,,,,,,,,,,,,
93,7/13/15,A,Q7V4,W7,7/13/15 14:45,0.46,0.47,0.37,23.8,20.7,81.9,6.74,731,Y,T,R,N,D,Y,Y,7/13/15 14:50,0.41,0.45,0.46,18.3,227.0,6.76,702,30,0.5,7/13/15 14:54,0.38,0.45,0.40,20.3,139.0,7.00,734,,7/13/15,,,,,,,,,,7/14/15 8:15,7/14/15,17:30:00,0.32,0.34,0.15,18.9,16.6,85.4,7.14,604,N,N,Y,80%,P,R,N,D,Y,Y,I,N
94,7/13/15,A,Q7V4,W7,7/13/15 15:09,0.43,0.49,0.01,21.9,20.1,196.8,6.82,737,Y,T,R,N,U,Y,Y,7/13/15 15:14,0.43,0.50,0.32,20.2,143.1,6.84,746,35,0.5,7/13/15 15:25,0.41,0.49,0.46,20.9,136.9,6.82,327,,7/13/15,,,,,,,,,,,7/14/15,,,,,,,,,,,,,,,,,,,,,
95,7/13/15,A,Q7V4,W7,7/13/15 8:55,0.43,0.48,,20.9,19.2,86.4,6.81,683,Y,T,Collapsible,N,U,N,White,7/13/15 9:02,0.41,0.46,0.30,18.8,68.7,6.91,729,68,2.0,7/13/15 9:06,0.39,0.42,0.21,20.1,70.5,6.82,678,7/13/15 13:45,7/13/15,4:50,0.31,0.34,1.00,20.0,19.4,73.7,6.88,609,7/14/15 8:15,7/14/15,23:20:00,0.02,0.11,0.51,17.6,18.0,71.6,7.10,420,N,N,Y,48%,P,Collapsible,N,U,N,White,I,N
96,7/13/15,A,Q7V4,W7,7/13/15 9:15,0.54,0.58,0.16,20.4,19.7,77.2,6.94,701,Y,T,R,Y,U,Y,Y,7/13/15 9:27,0.44,0.46,0.34,19.1,88.3,6.65,727,10,0.3,7/13/15 9:30,0.39,0.38,0.36,99.6,76.1,6.72,716,7/13/15 14:16,7/13/15,5:01,0.35,0.37,0.75,20.5,22.5,76.0,6.45,737,7/14/15 7:52,7/14/15,22:37:00,0.31,0.36,0.52,19.6,18.8,78.5,7.23,653,N,N,Y,90%,P,R,Y,U,Y,Y,I,N
97,7/13/15,A,Q7V4,W7,7/13/15 9:40,0.48,0.46,0.01,21.3,19.5,94.3,6.89,721,Y,T,R,N,U,Y,Y,7/13/15 9:48,0.50,0.52,0.07,19.1,72.5,6.86,734,40,1.0,7/13/15 10:00,0.49,0.51,0.18,19.1,91.6,6.87,714,7/13/15 13:50,7/13/15,4:10,0.41,0.42,1.30,19.7,19.1,77.0,7.01,674,7/14/15 8:00,7/14/15,22:20:00,0.27,0.29,0.52,15.9,16.8,84.9,7.39,647,N,N,Y,25%,P,R,N,U,Y,Y,I,N
98,7/13/15,A,Q7V4,W7,7/13/15 10:10,0.45,0.47,0.18,21.3,20.6,255.0,6.67,698,Y,T,R,N,U,Y,Y,7/13/15 10:14,0.51,0.53,0.01,19.6,83.8,6.95,737,40,1.0,7/13/15 10:26,0.48,0.51,0.13,20.8,68.3,7.04,399,7/13/15 14:04,7/13/15,3:54,0.45,0.50,0.67,19.7,20.0,72.2,6.85,721,7/14/15 7:44,7/14/15,21:34:00,0.35,0.29,0.54,15.9,17.1,87.6,7.19,606,N,N,Y,60%,P,R,N,U,Y,Y,I,N
99,7/13/15,A,Q7V4,W7,7/13/15 14:30,0.45,0.49,0.05,20.1,23.1,80.2,6.67,730,Y,T,R,N,U,Y,Y,7/13/15 14:51,0.44,0.47,0.24,21.7,68.0,6.75,739,5,0.2,7/13/15 15:05,0.41,0.42,0.21,21.7,68.5,6.81,734,,7/13/15,,,,,,,,,,7/14/15 8:42,7/14/15,18:12:00,0.33,0.37,0.65,17.8,18.1,71.7,7.11,670,N,N,Y,60%,T,R,N,U,Y,Y,I,N
100,7/13/15,A,Q7V4,W7,7/13/15 14:36,0.48,0.49,0.10,22.6,20.6,67.9,6.95,740,Y,T,R,N,U,Y,Y,7/13/15 14:47,0.45,0.46,0.25,21.3,23.3,6.94,729,20,1.0,7/13/15 15:14,0.64,0.65,0.06,20.6,79.6,6.92,723,,7/13/15,,,,,,,,,,7/14/15 8:20,7/14/15,17:44:00,0.25,0.28,0.95,18.6,16.4,70.6,7.49,551,N,N,Y,5%,P,R,N,U,Y,Y,I,N
101,7/14/15,B,Q2V3,W35,7/14/15 9:42,0.47,0.49,0.78,21.0,20.4,88.1,6.71,706,Y,P,R,N,U,Y,Y,7/14/15 21:55,0.41,0.44,0.56,19.3,77.4,6.80,744,80,1.2,7/14/15 10:02,0.41,0.46,0.15,19.8,114.6,7.11,717,7/14/15 14:23,7/14/15,4:41,0.31,0.44,0.30,22.0,19.8,80.4,7.22,687,7/15/15 8:28,7/15/15,22:46:00,0.06,0.10,0.17,16.4,15.2,83.2,7.57,427,Y,N,Y,6%,P,Oil Container,N,D,Y,Y,I,N
102,7/14/15,B,Q2V3,W35,7/14/15 10:17,0.44,0.50,0.20,25.4,21.1,86.1,7.05,716,Y,P,R,N,U,Y,Y,7/14/15 10:22,0.33,0.45,0.36,19.4,77.7,7.00,735,28,0.5,7/14/15 10:31,0.25,0.38,0.71,19.8,77.0,7.06,703,7/14/15 14:06,7/14/15,3:49,0.26,0.32,0.37,21.3,19.3,99.6,7.11,688,7/15/15 7:48,7/15/15,21:31:00,0.20,0.26,0.89,14.8,16.6,153.7,7.48,306,Y,N,Y,1%,P,R,N,U,Y,Y,I,N
103,7/14/15,B,Q2V3,W35,7/14/15 10:43,0.42,0.48,0.16,18.4,19.7,80.6,6.88,705,Y,P,Oil container,N,U,Y,White,7/14/15 10:55,0.37,0.46,0.42,19.7,83.1,6.93,710,48,0.8,7/14/15 11:03,0.33,0.37,0.30,19.5,85.4,7.02,701,,7/14/15,,,,,,,,,,7/15/15 8:49,7/15/15,22:06:00,0.05,0.14,0.27,15.9,16.4,89.7,7.45,349,N,N,Y,30%,P,Oil Container,N,U,Y,White,I,N
104,7/14/15,B,Q2V3,W35,7/14/15 11:15,0.36,0.48,0.01,19.3,19.5,132.3,6.97,719,Y,P,R,N,U,Y,Y,7/14/15 11:21,0.38,0.52,0.39,19.9,81.0,7.07,720,70,1.1,7/14/15 11:38,0.27,0.38,0.35,21.2,87.7,7.14,702,7/14/15 13:50,7/14/15,2:35,0.24,0.33,0.01,20.9,21.8,87.9,7.20,665,7/15/15 8:16,7/15/15,21:01:00,0.06,0.14,0.26,16.2,17.6,114.0,7.33,321,Y,N,Y,3%,P,Jug,Y,U,N,White,I,N
105,7/14/15,B,Q3V2,W38,7/14/15 15:15,0.65,0.71,0.33,21.7,19.5,77.6,6.60,765,Y,T,R,N,U,Y,Y,7/14/15 15:22,0.58,0.63,0.48,19.2,74.4,6.66,736,5,0.0,7/14/15 15:31,0.58,0.61,0.28,19.1,77.1,6.49,773,,7/14/15,,,,,,,,,,7/15/15 9:19,7/15/15,18:04:00,0.41,0.48,0.27,22.0,18.0,131.6,6.94,715,N,N,Y,80%,P,R,N,U,Y,Y,I,N
106,7/14/15,B,Q2V3,W38,7/14/15 15:15,0.58,0.58,0.29,18.0,19.4,79.2,6.68,774,Y,T,Oil container,N,U,Y,White,7/14/15 15:48,0.53,0.57,0.35,19.1,77.9,6.57,765,20,0.3,7/14/15 15:55,0.55,0.57,0.07,19.0,80.5,6.46,769,,7/14/15,,,,,,,,,,7/15/15 9:06,7/15/15,17:51:00,0.29,0.30,0.17,17.5,17.8,135.2,6.85,687,,,,,,,,,,,,
107,7/14/15,B,Q2V3,W35,7/14/15 9:43,0.46,0.47,0.36,17.5,18.9,83.2,7.11,703,Y,P,R,N,U,Y,Y,7/14/15 9:48,0.41,0.43,0.90,19.7,72.1,7.12,705,55,0.2,7/14/15 10:07,0.41,0.46,0.95,20.8,82.1,6.91,729,7/14/15 13:55,7/14/15,4:12,0.28,0.35,1.28,22.5,21.1,70.1,7.17,404,7/15/15 7:43,7/15/15,22:00:00,0.08,0.20,1.24,14.2,16.7,135.8,7.27,314,Y,N,Y,40%,P,Oil Container,Y,U,Y,White,I,N
108,7/14/15,B,Q2V3,W35,7/14/15 10:15,0.39,0.46,0.95,23.0,20.2,89.6,6.93,713,Y,T,R,N,U,Y,Y,7/14/15 10:20,0.36,0.45,1.28,19.7,70.2,6.99,715,73,1.0,7/14/15 10:26,0.35,0.43,1.11,20.7,84.9,6.90,687,7/14/15 14:07,7/14/15,3:52,0.23,0.28,1.38,22.3,23.9,72.3,7.22,565,7/15/15 7:50,7/15/15,21:35:00,0.04,0.09,0.96,15.9,17.8,78.6,7.59,279,Y,N,Y,18%,P,Oil Container,N,U,Y,White,I,N
109,7/14/15,B,Q2V3,W35,7/14/15 10:45,0.41,0.51,0.21,18.2,20.4,90.6,7.11,716,Y,P,Oil container,N,U,Y,White,7/14/15 10:49,0.40,0.52,0.25,19.9,71.4,7.02,703,30,0.3,7/14/15 10:55,0.37,0.47,0.26,21.6,88.1,6.96,704,7/14/15 14:24,7/14/15,3:39,0.25,0.26,0.97,26.5,23.0,69.2,6.82,608,7/15/15 7:59,7/15/15,21:14:00,0.01,0.01,1.68,13.1,15.9,71.7,7.44,276,N,N,Y,30%,P,Oil Container,N,U,Y,White,I,N
110,7/14/15,B,Q2V3,W35,7/14/15 11:02,0.44,0.46,0.50,17.9,20.0,69.2,6.88,714,Y,P,R,N,U,Y,Y,7/14/15 11:10,0.45,0.45,0.22,20.2,69.2,7.02,697,30,0.3,7/14/15 11:17,0.38,0.40,0.65,21.9,70.5,6.97,716,7/14/15 14:30,7/14/15,3:28,0.35,0.38,0.12,26.3,20.9,68.4,7.05,713,7/15/15 8:10,7/15/15,21:08:00,0.25,0.28,0.50,14.3,16.6,71.0,7.44,297,N,N,Y,90%,P,R,N,U,Y,Y,I,N
111,7/14/15,B,Q3V2,W38,7/14/15 15:16,0.64,0.65,0.61,23.1,20.7,71.2,6.61,745,Y,T,R,N,U,Y,Y,7/14/15 15:21,0.63,0.64,0.59,20.6,69.0,6.68,763,12,0.2,7/14/15 15:22,0.63,0.67,0.21,19.7,68.7,6.56,746,,7/14/15,,,,,,,,,,7/15/15 8:25,7/15/15,17:09:00,0.48,0.51,0.96,20.6,17.0,72.4,7.32,622,N,N,Y,70%,P,R,N,U,Y,Y,I,N
112,7/14/15,B,Q3V2,W38,7/14/15 15:26,0.66,0.69,0.54,21.0,20.2,70.6,6.78,769,Y,T,R,N,U,Y,Y,7/14/15 15:35,0.66,0.67,0.54,21.2,78.5,6.54,753,42,0.8,7/14/15 15:35,0.63,0.65,0.56,19.8,68.9,6.61,763,,7/14/15,,,,,,,,,,7/15/15 8:35,7/15/15,17:09:00,0.28,0.32,0.92,18.8,17.2,77.0,6.96,572,N,N,N,100%,P,R,N,U,Y,Y,I,N
113,7/15/15,B,Q2V4,W33,7/15/15 9:57,0.54,0.57,0.63,20.4,20.2,93.7,6.89,707,Y,T,R,Y,U,Y,Y,7/15/15 10:06,0.56,0.60,1.06,20.4,69.7,6.63,707,200,2.0,7/15/15 10:20,0.55,0.58,0.70,19.9,71.9,6.83,753,7/15/15 14:20,7/15/15,4:23,0.48,0.50,0.15,21.5,20.5,70.3,7.20,707,7/16/15 7:56,7/16/15,21:59:00,0.08,0.12,1.13,15.4,16.5,83.9,6.98,366,Y,N,Y,5%,P,Thermos,Y,U,Y,Green,I,N
114,7/15/15,B,Q2V4,W33,7/15/15 10:32,0.55,0.57,1.26,21.3,20.5,77.4,6.92,736,Y,T,R,N,U,Y,Y,7/15/15 10:36,0.57,0.60,0.38,19.7,73.9,6.92,748,120,2.0,7/15/15 10:42,0.55,0.59,0.63,20.1,94.1,6.97,745,7/15/15 14:30,7/15/15,3:58,0.51,0.53,0.78,21.4,21.5,72.0,7.18,709,7/16/15 8:04,7/16/15,21:32:00,0.04,0.21,3.39,15.8,17.1,89.4,7.59,278,Y,N,Y,10%,P,R,N,U,Y,Y,I,N
115,7/15/15,B,Q2V4,W33,7/15/15 10:51,0.55,0.57,1.28,19.6,19.8,75.3,6.93,725,Y,T,R,N,U,Y,Y,7/15/15 11:00,0.56,0.58,0.40,19.4,72.8,6.90,739,90,1.0,7/15/15 11:02,0.54,0.60,0.53,18.7,71.2,7.00,740,7/15/15 14:45,7/15/15,3:54,0.50,0.51,0.54,22.4,19.4,75.7,6.93,720,7/16/15 8:12,7/16/15,21:21:00,0.38,0.43,0.46,15.5,16.6,133.1,7.21,705,N,N,Y,80%,P,R,N,U,Y,Y,I,N
116,7/15/15,B,Q2V4,W33,7/15/15 11:14,0.56,0.61,1.31,18.7,20.3,70.7,6.00,328,Y,T,Collapsible,N,U,Y,Y,7/15/15 11:17,0.55,0.58,0.03,20.4,70.8,6.05,743,35,1.0,7/15/15 11:29,0.43,0.50,0.46,20.6,70.7,6.00,358,7/15/15 14:05,7/15/15,2:51,0.39,0.43,0.52,21.2,19.5,70.1,7.13,,7/16/15 8:20,7/16/15,21:06:00,0.15,0.18,0.94,15.6,16.4,81.9,7.38,648,N,N,Y,55%,P,Collapsible,N,U,Y,Y,I,N
117,7/15/15,B,Q2V4,W33,7/15/15 15:06,0.49,0.52,0.95,20.2,21.3,75.3,6.92,731,Y,T,Collapsible,N,U,Y,White,7/15/15 15:15,0.46,0.48,0.83,21.2,70.3,7.14,748,45,1.0,7/15/15 15:23,0.36,0.39,5.45,21.4,71.2,6.04,756,,7/15/15,,,,,,,,,,7/16/15 8:32,7/16/15,17:26:00,0.10,0.11,,15.2,15.8,108.0,7.28,553,N,N,Y,42%,P,Collapsible,N,U,Y,White,I,N
118,7/16/15,B,Q2V4,W22,7/16/15 10:25,0.79,0.81,1.32,24.6,20.8,81.4,7.04,725,Y,T,R,N,U,Y,Y,7/16/15 10:35,0.75,0.76,0.43,20.2,90.2,6.82,769,38,1.0,7/16/15 11:15,0.68,0.69,0.49,20.6,123.8,7.04,727,7/16/15 13:46,7/16/15,3:21,0.45,0.51,1.36,23.0,,89.2,7.03,715,7/17/15 11:30,7/17/15,25:05:00,0.34,0.39,2.78,22.1,22.4,79.5,7.47,369,N,N,Y,20%,P,R,N,U,Y,Y,I,N
119,7/16/15,B,Q6V4,W22,7/16/15 10:44,0.81,0.82,0.57,24.9,20.5,98.3,6.99,744,Y,T,R,N,U,Y,Y,7/16/15 10:51,0.75,0.82,1.02,20.7,81.3,7.30,755,45,1.0,7/16/15 11:00,0.76,0.83,0.66,19.4,83.3,7.11,738,7/16/15 13:55,7/16/15,3:11,0.68,0.70,1.03,82.7,21.3,83.2,7.17,725,7/17/15 11:40,7/17/15,24:56:00,0.45,0.51,1.23,22.4,17.8,93.2,7.56,694,N,N,Y,20%,P,R,N,U,Y,Y,I,N
120,7/16/15,B,Q6V4,W22,7/16/15 10:54,0.82,0.83,,24.2,20.9,82.0,6.98,740,Y,T,Oil container,N,U,Y,Y,7/16/15 11:20,0.86,0.89,,20.6,98.5,6.84,757,40,1.0,7/16/15 11:32,0.76,0.80,0.58,20.6,83.7,6.94,355,7/16/15 14:00,7/16/15,3:06,0.67,0.77,0.82,23.4,20.7,86.7,7.02,747,7/17/15 11:47,7/17/15,24:53:00,0.32,0.38,1.49,23.2,18.1,92.2,7.22,623,N,N,Y,28%,P,Oil Container,N,U,Y,Y,I,N
121,7/16/15,B,Q6V4,W22,7/16/15 14:35,0.91,0.95,0.92,22.6,22.4,114.6,6.94,757,Y,T,R,N,U,Y,Y,7/16/15 14:40,0.80,0.84,1.10,21.7,93.8,6.99,765,,,7/16/15 14:48,0.90,0.93,1.68,21.1,86.0,7.06,756,,7/16/15,,,,,,,,,,7/17/15 11:54,7/17/15,21:19:00,0.68,0.69,1.92,22.9,18.5,83.0,7.36,692,N,N,Y,30%,P,R,N,U,Y,Y,I,N
122,7/16/15,B,Q6V4,W22,7/16/15 14:55,0.97,1.05,0.70,24.1,21.6,94.0,6.91,768,Y,T,R,N,U,Y,Y,7/16/15 15:08,0.93,1.01,1.04,21.9,80.5,6.98,758,2,0.0,7/16/15 15:14,0.97,1.02,0.77,21.4,79.9,6.96,772,,7/16/15,,,,,,,,,,7/17/15 12:02,7/17/15,21:07:00,0.58,0.66,0.78,22.7,18.7,85.7,7.23,733,N,N,Y,70%,P,R,N,U,Y,White,I,N
123,7/15/15,B,Q2V4,W33,7/15/15 9:49,0.52,0.61,0.43,22.3,20.4,98.0,8.99,701,Y,T,R,N,U,Y,Y,7/15/15 10:08,0.52,0.56,1.24,19.3,78.1,7.20,736,7,0.0,7/15/15 10:14,0.49,0.53,0.62,20.3,86.4,6.96,749,7/15/15 15:33,7/15/15,5:44,0.47,0.49,0.46,26.5,21.6,92.2,6.95,749,7/16/15 8:51,7/16/15,23:02:00,0.31,0.37,0.48,16.0,17.2,134.7,7.19,712,,,,,,,,,,,,
124,7/15/15,B,Q2V4,W33,7/15/15 10:17,0.51,0.59,0.38,18.1,19.9,88.9,6.72,755,Y,T,R,N,U,Y,Y,7/15/15 10:21,0.52,0.58,0.41,19.5,92.6,6.92,745,80,1.0,7/15/15 10:36,0.53,0.59,0.39,20.9,77.1,7.06,724,7/15/15 14:20,7/15/15,4:03,0.34,0.51,1.33,22.1,20.9,77.4,7.08,710,7/16/15 8:20,7/16/15,22:03:00,0.04,0.11,2.23,15.8,16.3,78.9,7.66,387,N,N,Y,4%,P,Oil Container,N,U,Y,White,I,N
125,7/15/15,B,Q2V4,W33,7/15/15 10:48,0.53,0.67,0.34,21.6,20.3,76.7,6.90,737,Y,T,R,N,U,Y,Y,7/15/15 10:54,0.49,0.54,0.31,17.2,78.2,7.04,735,85,1.3,7/15/15 10:58,0.47,0.56,0.48,17.3,78.3,6.93,741,7/15/15 14:45,7/15/15,3:57,0.48,0.52,0.76,18.0,18.5,76.9,6.98,746,,7/16/15,,,,,,,,,,Y,Y,Y,40%,P,R,N,U,Y,Y,I,N
126,7/15/15,B,Q2V4,W33,7/15/15 11:05,0.55,0.60,0.35,23.2,21.3,80.8,6.92,725,Y,T,R,N,U,Y,Y,7/15/15 11:12,0.52,0.55,0.11,19.7,74.7,6.72,723,79,1.3,7/15/15 11:22,0.48,0.49,0.32,20.1,76.3,6.90,751,7/15/15 14:31,7/15/15,3:26,0.40,0.46,0.61,22.3,19.8,90.4,7.00,721,,7/16/15,,,,,,,,,,Y,Y,Y,30%,P,Oil Container,N,U,Y,Y,I,N
127,7/15/15,B,Q2V4,W33,7/15/15 15:50,0.56,,0.44,18.2,20.0,79.3,6.99,739,Y,T,R,N,U,Y,Y,7/15/15 15:58,0.55,0.60,0.69,20.2,79.6,6.92,707,45,0.7,7/15/15 16:08,0.48,0.56,0.56,20.5,79.4,7.01,736,,7/15/15,,,,,,,,,,7/16/15 8:41,7/16/15,16:51:00,0.32,0.35,0.89,15.1,15.6,140.9,7.59,690,N,N,Y,3%,P,R,N,U,Y,Y,I,N
128,7/16/15,B,Q6V4,W22,7/16/15 10:11,0.80,0.88,0.48,24.9,20.2,136.1,6.07,303,Y,T,R,N,U,Y,Y,7/16/15 10:21,0.78,0.79,0.56,19.5,84.4,6.89,762,9,0.2,7/16/15 10:36,0.78,0.81,0.28,19.6,81.5,6.95,754,7/16/15 14:29,7/16/15,4:18,0.48,0.57,0.56,23.5,20.3,88.1,7.02,722,,7/17/15,,,,,,,,,,N,Y,Y,20%,P,Oil Container,N,U,Y,Y,I,N
129,7/16/15,B,Q6V4,W22,7/16/15 10:44,0.68,0.78,0.01,19.0,20.0,75.1,6.89,756,Y,T,R,N,U,Y,Y,7/16/15 10:50,0.76,0.80,0.57,20.4,101.6,6.94,759,10,0.2,7/16/15 10:57,0.72,0.84,1.05,19.8,74.2,6.78,773,7/16/15 14:16,7/16/15,3:32,0.66,0.78,0.52,25.4,21.6,76.6,6.93,748,7/17/15 12:05,7/17/15,25:21:00,0.22,0.29,1.55,24.2,20.5,114.4,7.40,636,N,N,Y,30%,P,R,N,D,Y,Y,I,N
130,7/16/15,B,Q6V4,W22,7/16/15 11:04,0.79,0.86,0.01,19.1,19.7,93.3,6.83,781,Y,T,R,N,U,Y,Y,7/16/15 11:11,0.77,0.82,0.36,19.5,90.6,6.94,779,65,1.0,7/16/15 11:19,0.79,0.80,0.41,19.5,73.5,6.77,784,7/16/15 13:53,7/16/15,2:49,0.66,0.72,0.63,25.1,20.6,79.4,6.93,736,7/17/15 11:59,7/17/15,24:55:00,0.57,0.58,0.86,22.8,18.9,100.0,7.24,719,N,N,Y,50%,P,R,N,U,Y,Y,I,N
131,7/16/15,B,Q6V4,W22,7/16/15 14:35,0.92,1.13,0.82,22.0,20.8,78.1,6.90,764,Y,T,Oil container,N,D,Y,Y,7/16/15 14:40,0.91,1.11,0.54,20.8,73.8,6.85,759,60,1.0,7/16/15 14:48,0.94,1.04,0.58,21.0,75.3,6.92,772,,7/16/15,,,,,,,,,,7/17/15 11:54,7/17/15,21:19:00,0.31,0.37,1.17,24.3,21.6,94.7,7.05,697,N,N,Y,90%,P,Oil Container,N,D,Y,Y,I,N
132,7/16/15,B,Q6V4,W22,7/16/15 14:55,0.98,1.09,0.83,22.4,20.9,78.6,6.80,772,Y,T,Oil container,N,C,Y,Y,7/16/15 15:08,0.94,1.05,0.90,21.5,77.9,6.64,772,75,1.0,7/16/15 15:14,0.85,0.92,0.82,21.2,73.4,6.71,763,,7/16/15,,,,,,,,,,7/17/15 11:47,7/17/15,20:52:00,0.33,0.40,1.92,22.3,19.0,88.0,7.22,691,N,N,Y,30%,P,R,N,U,Y,White,I,N
133,7/15/15,B,Q2V4,W33,7/15/15 16:16,0.56,0.59,0.99,19.2,20.4,130.2,6.95,739,Y,T,Collapsible,N,U,N,White,7/15/15 16:22,0.55,0.61,0.70,20.0,79.0,6.84,748,15,0.2,7/15/15 16:26,0.50,0.56,0.72,20.7,81.0,7.07,733,,7/15/15,,,,,,,,,,7/16/15 8:59,7/16/15,16:43:00,0.24,0.28,0.52,16.0,15.9,147.5,7.47,672,Y,N,Y,40%,P,R,N,U,N,Y,I,N
134,7/15/15,B,Q2V4,W33,7/15/15 15:20,0.55,0.57,0.32,20.2,20.9,71.5,7.02,736,Y,T,R,N,U,Y,Y,7/15/15 15:26,0.51,0.55,1.20,20.9,70.6,6.14,628,80,2.0,7/15/15 15:34,0.50,0.52,1.55,20.1,71.0,7.40,712,,7/15/15,,,,,,,,,,7/16/15 8:41,7/16/15,17:21:00,0.23,0.24,0.70,15.6,16.4,87.8,7.54,606,Y,N,Y,20%,P,Oil Container,N,U,Y,Y,I,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
